exp,split,metric,value
generalization,grid,mean_RL,-3.0
generalization,grid,mean_RL_refine,-64.4
generalization,grid,mean_SA,-75.6
generalization,reg3,mean_RL,3.0
generalization,reg3,mean_RL_refine,-68.2
generalization,reg3,mean_SA,-69.4
generalization,er,mean_RL,-9.8
generalization,er,mean_RL_refine,-161.0
generalization,er,mean_SA,-190.2
scaling,er,RL_last,0.009965971207864511
scaling,er,RLref_last,-0.2471244123225877
scaling,er,SA_last,-0.24581388103113197
ablation,er_small,mean_base,1.0
ablation,er_small,mean_noJ,1.0
ablation,er_small,mean_noDeg,5.5
small_er,er_small,mean_H_RL,5.875
small_er,er_small,mean_H_SA,-34.375
small_er,er_small,mean_gap_RL_vs_ILP,1.171717420913569
large_er,er_large,mean_H_RL,1.75
large_er,er_large,mean_H_SA,-185.0
